n_id,nbName,nwName,nbyear,enter
1,기후위기 과학특강 :도와줘요 기후 박사! : 사람들이 가장 많이 묻는 17가지 질문,김해동 지음,2021,20221027
2,생명과학전공 탐색하기 :고등학생을 위한 생명과학전공 가이드북 =Explore biological science majors,이진성 저,2021,20221027
3,사라지지 말아요,방윤희 글?그림,2021,20221027
4,번개와 천둥 =Lightning and thunder,허복행 지음,2021,20221027
5,그토록 매혹적인 공룡 :우리는 왜 멸종된 공룡에 열광하는가,보리아 색스 지음,2021,20221027
6,로봇의 자리 :사람이 아닌 것들과 함께 사는 방법,전치형 지음,2021,20221027
7,지금은 영등포시대,박강열 기획,2021,20221027
8,증권투자는 게임이다 :애널리스트 최정용의 투자 철학과 경험사례,최정용 지음,2021,20221027
9,데이터 과학자의 일 :금융 게임에서 스포츠까지 현장에서 찾아낸 데이터 과학의 오늘,박준석 엮음,2021,20221027
10,바이러스 행성 :바이러스 발견부터 코로나19 유행까지 바이러스의 지구 지배기,칼 짐머 지음,2021,20221027
11,함께라서 :XYZ 세대 공감 프로젝트,최원설,2021,20221027
12,대단한 바다여행 :교양으로 읽는 바다 이야기,지은이: 윤경철,2021,20221027
13,행복한 중소 벤처기업 :사장과 직원 모두를 위한 삶의 행복과 성공의 길 : 생생한 현장체험을 담아 전하는 중소벤처기업의 꿈과 희망,김주봉 지음,2021,20221027
14,초자신감 :AI와 코로나19에 녹다운된 나약한 우리를 위한 비장의 무기,임채엽 지음,2021,20221027
15,초속도 :디지털 전환 불변의 법칙,아룬 아로라,2021,20221027
16,전쟁영화와 미래전쟁 :미래전쟁 어떻게 다가올 것인가?,문장권 지음,2021,20221027
17,저는 육아휴직 없는 맞벌이 엄마입니다 :차별받는 육아휴직 급여,양승광 지음,2021,20221027
18,장애가 장애가 되지 않게,마선옥,2021,20221027
19,잡스경제 :고용창출형 혁신성장 : 숲과 나무를 함께 보는 일자리정책,박철우 편,2021,20221027
20,청소년 활동 어떻게 할까? :공릉청소년문화정보센터 100가지 청소년 활동 노하우,이승훈 지음,2021,20221027
21,잘 팔리는 부동산은 따로 있다 :지금 집값보다 더 높게 파는 홈스테이징 재테크,장미정 지음,2021,20221027
22,잊혀진 전쟁 1950~53 :팔순이 넘은 여덟 명의 재미 한국인의 회고록,최연홍,2021,20221027
23,임파워드 :평범한 사람들이 만드는 특별한 제품,마티 케이건,2021,20221027
24,일본의 저출산 대책은 왜 실패했는가? :결혼?출산을 회피하는 진짜 원인,야마다 마사히로 저,2021,20221027
25,일본식당 :골목식당 천재들,이영호 글/사진,2021,20221027
26,일동록,강진형 지음,2021,20221027
27,인플루언서의 말센스 :불신의 시대 어떻게 타인의 마음을 얻을 것인가,제이슨 해리스 지음,2021,20221027
28,이기는 선거의 법칙 :30년 선거관리전문가가 말하는 뉴패러다임 선거전략,정연주 지음,2021,20221027
29,제로 투 원 :스탠퍼드대학교 스타트업 최고 명강의,피터 틸,2014,20221027
30,구름물리학,김경익,2021,20221027
31,과학은 논쟁이다 :과학 vs 과학철학 8개의 대논쟁,이강영,2021,20221027
32,뇌의식의 기초 :의식이란 무엇이고 뇌와 어떻게 관련되어 있는가?,안티 레본수오 지음,2021,20221027
33,해적에 관한 불편한 진실 :모험과 도전의 상징이 된 해적 이야기,박성욱 지음,2021,20221027
34,과학기술학 편람 .4,에드워드 J. 해킷,2021,20221027
35,인천 해저도시로 가자 =Towards Incheon underwater city,임현택 지음,2021,20221027
36,이화여자대학교 학생운동사 :시대의 가치를 향하여,김현서 지음,2021,20221027
37,이라크 전쟁 :부시의 침공에서 오바마의 철군 그리고 IS 전쟁까지 =The American war in Iraq : invasion by Bush withdrawal by Obama and another invasion by the Islamic state,이근욱 지음,2021,20221027
38,쪼가 있는 사람들의 결단 :자신만의 차별화로 목적에 집중한 성공스토리,최원교,2021,20221027
39,인공지능 기반 사회의 도래 각 국의 전략과 대응정책 =The advent of an AI-based society strategy and response policies of each country,김송죽,2021,20221027
40,과학하는 마음 :매일의 실패를 넘어 경이와 호기심의 세계로,전주홍 지음,2021,20221027
41,물리학의 길 :별자리 시대에서 양자물리학까지 우주확장의 역사 : 시간과 공간을 짓다,티모시 페리스 지음,2021,20221027
42,(미세먼지) 미분방정식,이병욱 지음,2021,20221027
43,파동의 법칙 :푸리에에서 양자까지,임성민,2021,20221027
44,물리지 않는 물리학 :복잡한 수식 없이 유쾌하게 즐기는 경이로운 물리학의 세계,이노키 마사후미 지음,2021,20221027
45,파생상품투자론 =Theory of derivatives,원재환 저,2021,20221027
46,초등공부 스스로 끝까지 하는 힘 :우리 아이 자기주도학습을 완성하는 8가지 솔루션,김성효 지음,2021,20221027
47,현대일본의 보수주의 :비판적 보수주의의 심리와 논리,장인성 지음,2021,20221027
48,리센코의 망령 :소비에트 유전학의 굴곡진 역사,로렌 그레이엄 지음,2021,20221027
49,퀀텀 리얼리티 :짐 배것의 양자역학 깊이 읽기,짐 배것 지음,2021,20221027
50,문명의 자연사 :협력과 경쟁 진화의 역사,마크 버트니스 저,2021,20221027
51,만들어진 진화 :생물학적 진화에 맞선 바이오 기술의 도전 =Posthuman,양은영 지음,2021,20221027
52,로켓의 과학적 원리와 구조 :한 권으로 끝내는 항공우주과학,데이비드 베이커 지음,2021,20221027
53,과학자의 흑역사 :세계 최고 지성인도 피해 갈 수 없는 삽질의 기록들,양젠예 지음,2021,20221027
54,경이로운 수 :수학의 길을 열어주는 짜릿한 수의 세계,수냐 지음,2021,20221027
55,개와 고양이의 물 마시는 법 :유체역학으로 바라본 경이롭고 매혹적인 동식물의 세계 =How dogs and cats drink water,송현수 지음,2021,20221027
56,코로나 이후 미래교육 :학생 주도성 메타버스 교육 블렌디드 러닝,박상준 저,2021,20221027
57,눈으로 보는 수학 .2,로저 넬센 지음,2021,20221027
58,근원의 시간 속으로,윌리엄 글래슬리 지음,2021,20221027
59,촛불의 과학,오지마 요시미 편역,2021,20221027
60,지구를 구한 영웅에게도 과학은 살아 있다,이보경 지음,2021,20221027
61,제주 야생 버섯,이상선 글과 사진,2021,20221027
62,(주방에서 배우는) 맛있는 과학,사이몬 ?런 필드 지음,2021,20221027
63,정답과 오답 사이 :수학공부 대화에 답이 있다!,김태균 지음,2021,20221027
